full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/96,1.93,77.1,2321735.0,USA,2016,1,29,Washington
Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/93,2.01,103.0,12727273.0,USA,2015,1,27,Wyoming
Jabari Parker,78,#0,Sacramento Kings,F,03/15/95,2.03,106.6,6500000.0,USA,2014,1,2,Duke
Terry Rozier,78,#3,Charlotte Hornets,G,03/17/94,1.85,86.2,19894737.0,USA,2015,1,16,Louisville
Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/93,1.85,78.0,15500000.0,Germany,2013,1,17,
Jeff Teague,78,#0,Atlanta Hawks,G,06/10/88,1.91,82.1,19000000.0,USA,2009,1,19,Wake Forest
Derrick White,78,#4,San Antonio Spurs,G,07/02/94,1.93,90.7,1948080.0,USA,2017,1,29,Colorado
Justise Winslow,78,#0,Memphis Grizzlies,F,03/26/96,1.98,100.7,13000000.0,USA,2015,1,10,Duke
Darius Garland,77,#10,Cleveland Cavaliers,G,06/26/00,1.85,79.4,6400920.0,USA,2019,1,5,Vanderbilt
De'Andre Hunter,77,#12,Atlanta Hawks,F,12/01/97,2.01,102.1,7068360.0,USA,2019,1,4,Virginia
Al-Farouq Aminu,77,#2,Orlando Magic,F,09/21/90,2.03,97.5,9258000.0,Nigeria,2010,1,8,Wake Forest
Malik Beasley,77,#0,Minnesota Timberwolves,G,11/26/96,1.93,89.8,2731713.0,USA,2016,1,19,Florida State
DeMarre Carroll,77,#0,Houston Rockets,F,07/27/86,1.98,96.2,7339258.0,USA,2009,1,27,Missouri
Ed Davis,77,#17,Utah Jazz,F,06/05/89,2.06,97.5,4767000.0,USA,2010,1,13,North Carolina
Taj Gibson,77,#67,New York Knicks,F,06/24/85,2.06,102.1,9000000.0,USA,2009,1,26,USC
Jerami Grant,77,#9,Denver Nuggets,F,03/12/94,2.03,97.1,9346153.0,USA,2014,2,39,Syracuse
Danny Green,77,#14,Los Angeles Lakers,G,06/22/87,1.98,94.8,14634147.0,USA,2009,2,46,North Carolina
Tim Hardaway Jr,77,#11,Dallas Mavericks,G,03/16/92,1.96,90.3,20025127.0,USA,2013,1,24,Michigan
Kevon Looney,77,#5,Golden State Warriors,F,02/06/96,2.06,100.7,4464286.0,USA,2015,1,30,UCLA
Monte Morris,77,#11,Denver Nuggets,G,06/27/95,1.88,79.4,1588231.0,USA,2017,2,51,Iowa State
Taurean Prince,77,#2,Brooklyn Nets,F,03/22/94,2.01,99.8,3481985.0,USA,2016,1,12,Baylor
Dario Saric,77,#20,Phoenix Suns,F,04/08/94,2.08,98.0,3481985.0,Croatia,2014,1,12,
Collin Sexton,77,#2,Cleveland Cavaliers,G,01/04/99,1.85,86.2,4764960.0,USA,2018,1,8,Alabama
Dennis Smith,77,#5,New York Knicks,G,11/25/97,1.88,88.5,4463640.0,USA,2017,1,9,NC State
Jarrett Culver,77,#23,Minnesota Timberwolves,G,02/20/99,1.98,88.5,5813640.0,USA,2019,1,6,Texas Tech
DJ Augustin,76,#14,Orlando Magic,G,11/10/87,1.8,81.6,7250000.0,USA,2008,1,9,Texas
Michael Beasley,76,#0,,F,01/09/89,2.08,106.6,3500000.0,USA,2008,1,2,Kansas State
Davis Bertans,76,#42,Washington Wizards,F,11/12/92,2.08,95.7,7000000.0,Latvia,2011,2,42,
Avery Bradley,76,#11,Los Angeles Lakers,G,11/26/90,1.91,88.5,6767000.0,USA,2010,1,19,Texas
Miles Bridges,76,#0,Charlotte Hornets,F,03/21/98,1.98,102.1,3755400.0,USA,2018,1,12,Michigan State
Jalen Brunson,76,#13,Dallas Mavericks,G,08/31/96,1.85,86.2,1416852.0,USA,2018,2,33,Villanova
Kentavious Caldwell-Pope,76,#1,Los Angeles Lakers,G,02/18/93,1.96,92.5,8089282.0,USA,2013,1,8,Georgia
Jae Crowder,76,#99,Miami Heat,F,07/06/90,1.98,106.6,7815533.0,USA,2012,2,34,Marquette
Jeff Green,76,#34,Houston Rockets,F,08/28/86,2.03,106.6,3405180.0,USA,2007,1,5,Georgetown
Rodney Hood,76,#5,Portland Trail Blazers,F,10/20/92,2.03,94.3,5718000.0,USA,2014,1,23,Duke
Kevin Huerter,76,#3,Atlanta Hawks,G,08/27/98,2.01,86.2,2636280.0,USA,2018,1,19,Maryland
Ersan Ilyasova,76,#7,Milwaukee Bucks,F,05/15/87,2.06,106.6,7000000.0,Turkey,2005,2,36,
Jonathan Isaac,76,#1,Orlando Magic,F,10/03/97,2.11,93.0,5806440.0,USA,2017,1,6,Florida State
Josh Jackson,76,#20,Memphis Grizzlies,F,02/10/97,2.03,92.1,7059480.0,USA,2017,1,4,Kansas
Michael Kidd-Gilchrist,76,#0,Dallas Mavericks,F,09/26/93,1.98,105.2,12784359.0,USA,2012,1,2,Kentucky
Kevin Knox,76,#20,New York Knicks,F,08/11/99,2.01,97.5,4380120.0,USA,2018,1,9,Kentucky
Emmanuel Mudiay,76,#8,Utah Jazz,G,03/05/96,1.91,86.2,1737145.0,Democratic Republic of the Congo,2015,1,7,
Elfrid Payton,76,#6,New York Knicks,G,02/22/94,1.91,83.9,8000000.0,USA,2014,1,10,Louisiana
Michael Porter,76,#1,Denver Nuggets,F,06/29/98,2.08,97.5,3389400.0,USA,2018,1,14,Missouri 
Austin Rivers,76,#25,Houston Rockets,G,08/01/92,1.91,90.7,2174310.0,USA,2012,1,10,Duke
Rajon Rondo,76,#9,Los Angeles Lakers,G,02/22/86,1.85,84.4,2564753.0,USA,2006,1,21,Kentucky
